avano	haveneau, havenet
faire_le_sale_boulot	mettre_les_mains_dans_le_cambouis, se_salir_les_mains
comme_un_poisson_dans_l’eau	à_l’aise, dans_son_élément
mésintelligence	désaccord, mésentente
chamarré	bigarré, bariolé
protège-tibia	protège
chiliade	millier, mille
épervier_à_pieds_courts	épervier_du_Levant
muscardine	dragée
actualisation	mise_à_jour
jean-foutre	vaurien, foutriquet
flop	échec, bide, four
artisonné	vermoulu
flou	vague, obscur, flottant, fondu, lâche, voilé, indéterminable, brouillé, trouble, indistinct, imprécis, indéterminé, brouillardeux, effacé, indéfini, ténébreux, nébuleux, incertain, brumeux, vaporeux, confus, hésitant, sibyllin, timide, indécis
agace-pissette	agace, aguicheuse, allumeuse
superpétrolier	supertanker
débourbage	décrottage
frusquiner	frusquer
système_D	démerdenzizich, article_quinze
fesse	derrière, postérieur, miche, boule, arrière-train, meule, séant, cul, pétard, fion, potron
cordiforme	cordé, cardioïde
énormément	beaucoup, super, excessivement, vachement, immensément, très, extrêmement, démesurément, considérablement, follement, immodérément, moult
stibine	alcohol, mine_d'antimoine_grise, antimonite, mine_d'antimoine_sulfurueuse, proto-sulfure_d'antimoine, antimoine_sulfuré, antimoine_gris, platyophthalmite
feuillante	feuillantine
bombyx_chinois_du_chêne	ver_à_soie_Tussah
Callisto	J_IV, Jupiter_IV
peller	pelleter
obscurantiste	obscurant, obscurantin
eumétazoaires	métazoaires_supérieurs
écrapoutir	écraser, écrapoutre
idée_reçue	cliché, biais, lieu_commun, idée_préconçue, idée_toute_faite, préjugé, stéréotype
défriche	défriché
barrière_canadienne	passage_canadien
pyromorphite	pseudocampylite, mine_de_plomb_verte, bryoide, campylite, plomb_phosphaté, phosphomimetite
faitout	marmite
avoir_horreur	abominer, exécrer, abhorrer, détester
starting_block	bloc_de_départ, starting-block
biffetonner	biftonner
présentation_podalique	présentation_du_siège
prosencéphale	cerveau_antérieur
triméthylméthane	isobutane, 2-méthylpropane, i-butane
art_premier	art_primitif
botaniser	herboriser
frazil	sloche
être_à_la_dernière_cenne	ne_plus_avoir_une_cenne, gratter_les_fonds_de_tiroir, ne_plus_avoir_un_rond
ouaouaron	grenouille-taureau, lithobates_catesbeianus, rana_catesbeiana, nom_binomial
apr._J.-C.	n._è., EC
andromanie	nymphomanie
accoucher	enfanter
BMW	béhème, BM
trentaine	trentenaire
par_aventure	d’aventure
chouchouter	dorloter, choyer, mignoter, entourer, bichonner, cajoler, soigner, gâter, soin, couver, pouponner, combler, occuper, chérir, câliner, mignarder, coucounner
matière_première	matière_primitive
blason	héraldique
piquerie	salle_de_shoot, site_d’injection_supervisée
asturien	asturléonais, léonais, bable
caprifiguier	figuier_sauvage, figuier_mâle
endométrectomie	hystéroscopie, résection, opératoire
on_ne_prend_pas_les_mouches_avec_du_vinaigre	on_n’attrape_pas_des_mouches_avec_du_vinaigre
similigravure	similigraphie
automation	automatisation
tridacne	bénitier, faîtière, tuilée
BOF	crémier
ovifère	ovigère
caloenas	pigeon_Nicobar, nicobar_à_camail, pigeon_de_Nicobar
show_business	show-biz
hégoumène	hygoumène
non_conventionnel	de_destruction_massive
bromacil	bromo-5-méthyl-6_(méthyl-1_propyl)-3_(1H,3H-pyrimidinedione-2,4)
sismomètre	sismographe
mérou_paon	mérou_céleste
budgétiser	budgéter
kiang	âne_sauvage_du_Tibet, gorkhar
pétoncle	noix_de_Saint-Jacques, Saint-Jacques
euryhalin	halotolérant
cirer_les_bottes	passer_de_la_pommade, passer_la_brosse_à_reluire, lécher_le_cul, lécher, cirer_les_pompes
rucher	abeillier, abeiller
Neptune_VIII	Protée, N_VIII, S/1989_N_1
orpin_de_Nice	orpin_élevé, sédum_de_Nice
plan_d’affaires	plan_d’entreprise, business_plan
pigeon_ramier	palombe, ramier, bizart, mansard
grolle	godasse, pompe
bestiaire	venatores
suréquipement	gadgétisation
crique	calanque, crique_saisonnière
salade	boniment, mito, baratin, pipot, mensonge, hâblerie
Ouagavillois	Ouagalais
mbala	kimbala
kébab	gyros, shawarma, chaouarma, shoarma, shwarma, grec, shawerma
broyer	émietter, pulvériser, triturer, moudre, bocarder, piler, mâcher
pusillanime	pleutre, peureux
grand_écart	fossé
faire_le_zèbre	faire_le_pitre, faire_le_clown, faire_l'imbécile, faire_le_zouave
regardable	observable
désoxyribose	déoxyribose
soundanais	sundanais, sondéen
choléra_aviaire	choléra_des_poules, pasteurellose_aviaire
croulement	éboulement, écroulement, effondrement
amalgamer	confondre
septentenaire	septuagénaire
banc_de_neige	congère
Sinto	romanichel, Rom, Bohémien, Gitan, Tzigane, Manouche
synaptase	émulsine
séismologie	sismologie
apedeutisme	ignorance
fenouillet	fenouillette
sketch	saynète
sphéroïdique	sphéroïdal
réapprofondir	rapprofondir
lectrin	lutrin
ecto-	extra-, exo-
transactinide	translawrencien
dermato-	derm-, dermo-, -derme
cavatappi	cellentani
défoncer	démolir
érémitique	ermital
délaitement	délaitage
boule_de_neige	champignon_des_bruyères, agaric_champêtre, caillebotte, pelote_de_neige, boule_à_neige
quintozène	PCNB, pentachloronitrobenzène
amuser_le_tapis	tourner_autour_du_pot
zarma	putain, purée, songhay-zarma, songhaï-zarma, la_vache
vitamine_K3	ménadione
licencier	renvoyer, mettre_à_la_porte, s’inscrire, s’affilier, virer, congédier, mettre_à_pied, remercier
vitamine_K2	ménatétrénone, ménaquinone
mettre_pavillon_bas	baisser_pavillon
vitamine_K1	phytonadione, phytoménadione, phylloquinone
autocuiseur	cocotte-minute, ultracuiseur
sansonnet	étourneau
érudition	connaissance, savoir
machinalement	mécaniquement, habituellement, inconsciemment, volontiers
papier_buvard	buvard, papier_brouillard
palustre	maremmatique, marécageux, paludéen
paisiblement	calmement, pacifiquement
anaconda	eunecte
triolisme	plan_à_trois
relou	casse-couille, lourd, reuleu, chiant, lourdingue, rilou, casse-pied
huile_de_palmiste	huile_de_noix_de_palme, huile_d'amande_de_noix_de_palme
phallocentrisme	sexisme, machisme
berner	bafouer, jouer, gausser, rouler_dans_la_farine
carte_postale	carte
fission_binaire	scissiparité, multiplication_cellulaire
tipexer	effacer
butteuse	buttoir
sûrement	assurément, certainement
reporter	procrastiner, repousser
jardin_maraîcher	jardin_potager, jardin_légumier
nébuleuse_en_émission	nébuleuse_obscure, nébuleuses_par_réflexion
sottise	idiotie, nunucherie, bêtise, fatuité, ânerie, imbécillité, imbécilité, niaiserie, stupidité, connerie
marketing	mercatique
torture	question, douleur
margine	mourgine
cornet_de_glace	cornet, crème_glacée
Pluton	(134340)_Pluton
hétérotropie	anisotropie
prêt_à_usage	commodat
troïka	triumvirat
lactodensimètre	pèse-lait
terre_franche	terre_végétale
C89	C90
paletter	palettiser
zélote	mélanophore
Zinneke	Bruxellois, Brusseleir
vibré	vibrer, pervibré
battaison	battage
stencil	ronéotypie
budget	prévisionnel, devis
C94	C95
pinaillage	pinaillerie
C99	C9X
outrageusement	excessivement, abusivement, immodérément
adorner	orner
chaud_comme_une_baraque_à_frites	chaud_comme_la_braise, chaud_boulette, chaud_bouillant, chaud_bulex
Nauru	Naourou, Onawero, République_de_Nauru, île_Pleasant, Nawodo
échardonneuse	échardonneur, égrateronneur
subrepticement	en_douce, discrètement
aubergine	contractuelle
oh_là_là	ouf, oh_non, ah_ben_non_alors
papillon_de_jour	papillon_diurne, rhopalocère
C9X	C99
tille	teille
Galaxie	Voie_lactée
tous_les_deux	tous_deux
brasque	brasse
dieldrine	HEOD, hexachloro-époxy-octahydro-endo-exodiméthano-naphtalène
en_second_lieu	secundo, deuzio, deuxièmement, subsidiairement
sacrer_son_camp	se_barrer, foutre_le_camp, sacrer_le_camp, prendre_ses_cliques_pis_ses_claques, s'en_aller, paqueter_ses_petits
quatre-vingt-treize	nonante-trois
terre-noix	marron_de_terre, gland_de_terre, moinson, châtaigne_de_terre
séré	sérac
sachem	ogima, sagamore, saqamaw, sagamo
crédit_renouvelable	crédit_revolving, crédit_permanent
sigisbé	alcôviste
attendu	prévu
trifloxystrobine	CGA_27920, HSDB_7276
fille_de_boutique	vendeuse, demoiselle_de_magasin
diméthylfumarate	DMFu, fumarate_de_diméthyle
débauchement	débauchage
sous-estimation	sous-évaluation, sousévaluation
cuniculiculture	cuniculture
aztèque	nahuatl
hellénophone	grécophone
troussis	retroussis
mort_les_armes_à_la_main	mort_en_martyr, tombé_au_champ_d’honneur, mort_au_combat, mort_en_héros, mort_en_combattant
incarnat	rose
amener	conduire, mener
slow_fox	fox-trot
oxyde_de_carbone	monoxyde_de_carbone
crêper	crêpeler, crespeler
tétratrichotomie	quadricapillosection, trichotétratomie, capillotétratomie, masturbation_intellectuelle
nom_de_baptême	prénom
docteur	toubib, médecin, apocope, praticien, doc
caucasien	europoïde, blanc, caucasoïde
agonir	accabler
coati	quachi
saint-pierre	haddock, poule_de_mer, aiglefin, dorée, zée
cuscute	barbe-de-moine
menterie	mensonge
chevesne	meunier
aventurette	plan_cul
séminariste	séminard, ratichon, corbeau
pourvu_que	que, si, fasse_le_ciel_que, souhaitons, sous_réserve_que, à_condition_que, espérons
coucouler	coucouer
rossignolette	rossignole
autolissant	autoplaçant, autonivelant
Légion_d’honneur	croix_d’honneur
palmier_de_Chine	palmier_de_Chusan, palmier_à_chanvre, palmier-chanvre
baleine_boréale	baleine_du_Groenland
tomber_en_quenouille	finir_en_eau_de_boudin, partir_en_couille
périssoire	nayoire
satyriase	satyriasique
cygneau	cygnet
baudissérite	razoumustskin, magnésite, breunérite, walmstédite, globertite
vitamine_PP	vitamine_B3, nicotinamide
angle_droit	quart_de_tour, équerre
mésomère	forme_de_résonance
se_taper_le_sale_boulot	se_taper_quelque_chose
avoir_du_toupet	être_culotté, avoir_du_front_tout_le_tour_de_la_tête, avoir_du_culot
nekuia	catabase, descente_aux_enfers
ophtalmologiste	oculiste, ophtalmologue, ophtalmo
gélifraction	cryoclastie
rater_un_éléphant_dans_un_couloir	rater_une_vache_dans_un_couloir
cacaotière	cacaoïère, cacaoyère
boxe_chinoise	wushu, kung-fu
mûrissement	mûrissage
candide	innocence, jaune_nuageux_de_montagne, naïveté
foncièrement	intimement, à_fond, intégralement, profondément, tout_à_fait
liserer	lisérer
désintoxication	sevrage
intergouvernementalité	intergouvernementalisme
déjà-vu	paramnésie
proditeur	proditoire
beylick	beylicat
compteur_Geiger	compteur_Geiger-Müller, compteur_G-M
figurativement	allégoriquement
cornucopia	corne_d’abondance
intelligence_artificielle	IA
workaholique	stakhanoviste
pourriel	courriel_indésirable, merdiel, polluriel, spam
abkhasien	abkhaze
diencéphale	cerveau_intermédiaire
Géométridés	géomètre
rostral	cranial
scarlatine	fièvre_écarlate
holothuroïde	holothurie, holothuride
à_donf	à_fond
tonnelle	gloriette
sacralisation	sanctuarisation
État-providence	État-mamma, État-nounou
démêlé	conflit, embrouille
diaphane	clair, translucide, lumineux, transparent
atocas	airelle, canneberge
Minotaure	Astérion, Astérios
vidange	vidage
ripolinage	ripolinisation
prématurément	avant_l’heure
goutte_d’eau_dans_la_mer	goutte_d’eau_dans_l’océan
CAF	allocs, caisse_d’allocations_familiales
sexe_faible	gonz, nana, beau_sexe, femme, meuf, gonzesse
cuboctaèdre_tronqué	grand_rhombicuboctaèdre
aponévrosite	aponévrite
tétraplégie	quadriplégie
va-t-en-guerre	belliciste
laboratoire	labo, apocope
acide_naphtyl-1_acétique	ANA
aminofuracarbe	benfuracarbe
sens_commun	bon_sens
mal_luné	de_mauvais_poil, levé_du_pied_gauche
hernie_ombilicale	hernie_de_l'ombilic
canal_de_Sténon	canal_parotide, conduit_parotidien
bondé	bondagé
emballement	conditionnement, emballage
opération_césarienne	hystérotomie, césarienne
en_faveur	pour, au_vu_de, étant_donné, au_profit_de
cellule_souche	cellule_indifférenciée
antagoniste	antagonique
salaud	vaurien, enculé, enflure, pourriture, scélérat, diable, manant, saleté, méchant, brigand, salopard, crapule, crevure, saligaud, fripon, gredin, galapiat, pendard, bordille, chenapan, vilain, drôle, faquin, maraud, sacripant, filou, raclure, canaille, crevard, fripouille, fumier, escroc, coquin, crado, voyou, gueux, ordure, gouape
roulement_à_aiguilles	roulement_à_billes, roulement_à_rouleaux
Tarvos	Saturne_XXI, S/2000_S_4
Buton	Butung
utopie	Eldorado, chimère, rêve, rêverie, illusion
CCC	3-chlorure_de_2-chloroéthyl_triméthylammonium, chlorure_de_chlorocholine
sur_les_chapeaux_de_roues	à_toute_allure, au_quart_de_tour, à_fond_la_caisse, pied_au_plancher
glaie	glaise
arrière-grand’mère	bisaïeule
manioc	tapioca
dénigration	dénigrement
asymétrie	dissymétrie
baisser_pavillon	mettre_pavillon_bas
tolylfluanide	N-dichlorofluorométhylthio_N’,N’-diméthyl_N-p-tolylsulfonyl-diamide, N-dichlorofluorométhylthio_N’,N’-diméthyl_N-p-tolylsulfamide
enfant_de_Marie	pudique, rigoriste, prude, puritain
malfaiteur	hors-la-loi, bandit, voyou, criminel, malfrat, délinquant
névasse	sloche, tiaffe
au_milieu_de_nulle_part	loin_de_tout
Washington,_district_de_Columbia	Washington
famoxadone	DPX_JE874, (RS)-3-anilino-5-méthyle-5-(4-phénoxyphényl)-1,3-oxazolidine-2,4-dione, 5-méthyl-5-(4-phénoxyphényl)-3-(phénylamino)-2,4-oxazolidinedione, IN_JE874
endossement	endos
écoredevance	écotaxe
prendre_sans_vert	prendre_au_dépourvu
consommable	mangeable
aristotélicien	aristotélique
fêtard	bambochard, bambocheur, noceur
supportable	tenable, acceptable, admissible, honnête, passable, soutenable, suffisant, vivable, excusable, endurable, tolérable
faire_des_courses	faire_les_courses, faire_ses_courses
bleu_des_Anciens	bleu_antique, bleu_égyptien
canal_de_Wirsung	conduit_pancréatique_principal, canal_pancréatique
rhabdomancie	sourcellerie, radiesthésie
CEE	Communauté_économique_européenne, Communauté_européenne
sphinx_phoenix	sphynx_du_taro, phoenix, sphinx_Phaenix
duiker	céphalophe
CEI	conduite_avec_facultés_affaiblies, CFA
CEP	éthrel, CEPA
cafèt’	cafétaria, cafétéria, cafét’
ultrachromatisme	infrachromatisme
couillette	couille
Atalante	36_Atalante
chamaillerie	dispute, querelle
État-Major	jésuitière
CFA	CEI, conduite_en_état_d'ivresse
tireler	turluter, tirelirer, grisoller
cordage	stèrage
hiverniser	hiverner, hivériser, hiberniser
carolingien	carolinien
pervibrage	pervibration
journal	feuille_de_chou, canard, éphéméride
tabouret	bourse-à-berger, boursette, bourse-à-pasteur
faire_la_minette	gougnotter, brouter, brouter_le_gazon, lécher
film_X	boulard, film_de_boule, film_de_cul, film_de_boules, film_porno
envelopper	empaqueter
gonnelle	papillon_de_mer
ne_pas_sentir_la_rose	dauber, puer, schmouter, fouetter, schlinguer
langue_de_Zamenhof	espéranto
en_marche	en_mouvement
amarante	passe-velours
CGL	centre_gay_et_lesbien
véto	vétérinaire
ratiociner	ergoter, philosopher
lymphocyte	lymphoïde
sulfure_d’hydrogène	hydrogène_sulfuré
pharyngien	pharyngé
strassé	pailleté
sans_quoi	faute_de_quoi
corporatisme	esprit_de_corps
tous_les_trente-six_du_mois	aux_calendes_grecques, quand_les_poules_auront_des_dents, à_la_Saint-Glinglin, semaine_des_quatre_jeudis
quatrième_doigt	annulaire, doigt_IV
baba	abasourdi, sur_le_cul, ébahi, bouche_bée
retriever	chien_rapporteur
costumé	déguisé
thiamine	vitamine_B
réifier	chosifier
allonyme	synonyme, apocryphe, pseudépigraphe
langue_de_Goethe	allemand
Amérique	hémisphère_ouest, Nouveau_Monde
prohibé	défendu, interdit
mathématiquement	algébriquement
motopompe	électro-pompe, autopompe, tonne-pompe
ovariectomie	oophorectomie
limonine	dictamnolactone, évodine, obaculactone, citrolimonine
inutilisation	non-utilisation
di-1-p-menthène	2,4-bis(4-methylcyclohex-3-enyl)2-methylpentane
casque	casque_audio
mouron_blanc	morgeline, mouron_des_oiseaux, alsine, alcine
amnios	sac_amniotique
Léviathan	léviathan
fonction	sous-routine
point_culminant	paroxysme
apparition_au_bâton	présence_au_bâton
étaupineuse	ébouseuse-étaupineuse
brieux	brief, bref
ver_mopane	mopani
cercle_de_réflexion	groupe_de_réflexion, think-tank, laboratoire_d’idées
semi-produit	demi-produit
palet	puck, rondelle
mordre	niaquer, gnaquer
journel	quotidien, journalier
ferry	traversier
indigérable	indigestible
bac_à_sable	carré_de_sable
chanceler	ferme, fixe, vaciller
mètre_ruban	ruban_à_mesurer
faux_pas	chevaux, bronchade
teiller	tiller
dringueille	dringuelle
maëlstrom	vortex
gaz_oxygène	dioxygène
dactyliothèque	baguier
tétras_lyre	petit_coq_de_bruyère, petit_tétras
visage_de_déterré	visage_de_l’autre_monde, tête_de_déterré
s’en_tenir_là	en_rester_là
gonosomique	hétérosomique, allosomique, hétérochromosomique
insignifiant	négligeable, rare, inintéressant, mineur
schefférite	wallérite
cornerotte	choue_cornerotte
rastafari	rastafarien, rasta
égalitariste	égalitaire
cloueur	cloueuse
Osage	Osagé
choc_culturel	choc_des_cultures
gehlénite	velardenite
Naskapi	Innu
contrefeu	taque, contrecœur
égaré	écarté, perdu
crevette_grise	Crangon_crangon
grès_pif	grisard
vitamine_B8	vitamine_H
il_se_trouve	en_fait, en_réalité
roturier	gueux, prolétaire, vilain, vulgaire, ignoble
S/2006_S_2	Saturne_XLV, S_XLV, Kari
hotlineur	téléconseiller, téléassistant
bas-officier	bas-off
S/2006_S_6	S_L, Saturne_L, Jarnsaxa
S/2006_S_5	Saturne_XLVI, Loge, S_XLVI
S/2006_S_4	Saturne_LI, Greip, S_LI
s’investir	s’impliquer
S/2006_S_8	Skoll, Saturne_XLVII, S_XLVII
exmoor	poney_exmoor, poney_celte
S/2006_S_7	S_XLVIII, Surtur, Saturne_XLVIII
Antarctique	Antarctide, Terres_australes
réflexe_de_Pavlov	conditionnement_pavlovien, réflexe_conditionnel, réflexe_conditionné
palme	paume
débordement	bordée, invasion
lorrainité	lorrainitude
vitamine_D5	sitocalciférol
mouche_du_cuir	hypoderme
vitamine_D4	22-dihydroergocalciférol
balbuzard	aigle_pêcheur, corbeau-pêcheur, aigle_de_mer
vitamine_D3	cholécalciférol
vitamine_D2	ergocalciférol
substratum	substrat
dessalage	dessalement
quint-	pent-
filmer	tourner
vaeakau-taumako	pileni
mage	astrologue, marabout, voyant, devin
Qatariote	Qatari, Qatarien
PCPBS	fenson, benzène-sulfonate_de_p-chlorophényle
zarbe	louche, bizarre, surprenant, zarbi, étrange, curieux, chelou, bizarroïde
pourtour	déambulatoire
profilage	profiling
suédophone	suécophone
compagnon_d’armes	frère_d’armes
boutonner_dimanche_avec_lundi	boutonner_samedi_avec_dimanche, boutonner_mardi_avec_mercredi
zarbi	louche, bizarre, verlan, étrange, curieux, zarb’, chelou, bizarroïde
déparier	désaccoupler
absinthe	fée_verte, aluine, Artemisia_absinthium, verte
tricot_rayé	marinière, plature
vérificateur_orthographique	correcteur_orthographique
D10	dé_à_dix_faces
millimètre_de_mercure	torr
D12	dé_à_douze_faces
candélabre	chandelier, torchère, lampadaire
chlorure_de_polyvinyle	PVC
COV	composé_organique_volatil
Nancéen	Nancéien
vitamine_B3	vitamine_PP
rugby_à_XIII	jeu_à_XIII
vitamine_B2	riboflavine, lactoflavine, E101
zaraf	exaspéré, irrité, être_Z, énervé, venèr
schématisme	simplification
infirme_moteur_cérébral	IMC
causerie	discussion, bavardage, conversation
abréger	raccourcir, écourter
inhabituel	insolite
filer_le_duce	porter_le_duce, expédier_le_duce, envoyer_le_duce, porter_le_pet
D20	dé_à_vingt_faces
mail	e-mail, courriel, courrier_électronique, mél
fenouil_annuel	ammi_visnage, visnage, khella
proposition_de_loi	projet_de_loi
réengainer	rengainer
merle_de_roche	monticole_merle-de-roche, monticole_de_roche
main	pogne, patoche, mimine, paluche
avancée	progrès
risiblement	ridiculement, ironiquement, drôlement
mais	néanmoins, toutefois, cependant, par_contre
immunodépressif	immunodéficient
franc_de_port	port_payé
mahu	intersexe, hijra, rae_rae, masisi
arrangeable	réparable
travesti	travelo
tilak	pottu, bindi, tika
couagga	dauw, zébroïde, cheval, cheval_du_Cap, daw
Chèvre	Bouc, Mouton, Bélier
mécompréhension	incompréhension
geler	glacer
trève	frairie, quartier
parasitisme_accidentel	parasitisme_incidental
fermi	femtomètre
procrastinateur	procrastineur
darne	tranche
alkékenge	lanterne_japonaise, groseille_du_Cap, cerise_d’hiver, alkékengère, lanterne_de_Venise, cerise_de_terre, physalis, coqueret, herbe_aux_lanternes, amour-en-cage, pomme_d’amour, coccigrole, lanterne
botswanais	botswanéen
faire_tourner_chèvre	faire_tourner_bourrique, rendre_chèvre, faire_devenir_chèvre
sérum_de_vérité	penthiobarbital, penthotal
par-dessus_les_yeux	par-dessus_la_tête
emmanché	enfoiré, con, emprosé, enculé, endauffé, lourdaud, idiot, tête_de_nœud, empoté, engourdi, fils_de_pute, balourd, gland, godiche, imbécile, enfifré, enviandé, lambin, sodomite, trou_du_cul, empaffé, bougre, crétin, empapaouté
sorbet	glace, glace_à_l’eau
baie	calanque, crique, anse, poisson_d’avril, bourde, mystification, cassade
chéloniomancie	plastromancie
subsidiarité	suppléance
suécophone	suédophone
attitré	agréé, exclusif
cambrousier	cambroussard, pedzouille, cambrousard, péquenot
grue_demoiselle	demoiselle_de_Numidie
économisation	marchandisation, mercantilisation, commercialisation
nouaison	nouure
cambium	assise_génératrice
écorner	décorner
décider	trancher
manuscrit	autographe
revenant	fantôme
CSS	feuille_de_style_en_cascade, feuille_de_style
ivoire	dentine
mal-	non-, ir-, im-, in-, il-
trublion	perturbateur, agitateur
requin_lézard	requin_à_collerettes, requin_festonné, requin_frangé
baccalauréat	candidature, matu
chauve-souris	souris-chauve
raie_miroir	raie_ocellée
tamaris_de_France	tamarin_de_France
satyre_tristan	tristan
sclère	sclérotique, blanc_de_l’œil
os_lingual	os_hyoïde
laïcat	sécularité
afforestage	affouage
Flosculeuses	Astéracées, Dipsacées, Composées
09	zéro_neuf
corridor_biologique	biocorridor
repartir_comme_en_quarante	repartir_comme_en_quatorze, repartir_comme_en_14
azimut	cap, abscisse
diamant_de_Briançon	diamant_de_Hawaii, diamant_de_Bohême, diamant_occidental, diamant_irlandais, diamant_de_Brighton, diamant_de_Buxton, diamant_mexicain, diamant_de_Bristol
bane	benne
gallurais	gallurien, gallurese
Pinnotheres_pisum	crabe_petit_pois, crabe_de_l’huître
folitude	camp
Aïd_el-Kebir	Aïd_al-Adha, tabaski
feuillantine	feuillante
MCPA	acide_(4-chloro-2-méthylphénoxy)_acétique
voie_sans_issue	cul-de-sac, impasse
psychoverbiage	pseudopsychologie, pseudoscience
se_déballonner	se_dégonfler
éthéphon	éthrel, CEPA, CEP
grâce	affabilité, facilité, galanterie, excellence, divinité, service, appas, protection, bienfait, rémission
